time_m_x,price,size,time_dt,time_m_y,bid,ask,bidsiz,asksiz,midprice,spread,imbalance
09:30:00.000791,589.39,400,1900-01-01 09:30:00.000791,,,,,,,,
09:30:00.001955,589.39,400,1900-01-01 09:30:00.001955,09:30:00.001706,589.38,589.45,8,8,589.415,0.07000000000005002,0.0
09:30:00.001994,589.39,400,1900-01-01 09:30:00.001994,09:30:00.001972,589.38,589.45,8,8,589.415,0.07000000000005002,0.0
09:30:00.002099,589.39,400,1900-01-01 09:30:00.002099,09:30:00.001972,589.38,589.45,8,8,589.415,0.07000000000005002,0.0
09:30:00.003865,589.38,500,1900-01-01 09:30:00.003865,09:30:00.003861,589.38,589.44,3,6,589.4100000000001,0.06000000000005912,-0.33333329629630043
09:30:00.003868,589.38,300,1900-01-01 09:30:00.003868,09:30:00.003866,589.38,589.45,5,8,589.415,0.07000000000005002,-0.23076921301775286
09:30:00.010799,589.41,2,1900-01-01 09:30:00.010799,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.010802,589.4,400,1900-01-01 09:30:00.010802,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.010806,589.4,20,1900-01-01 09:30:00.010806,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.010808,589.4,398,1900-01-01 09:30:00.010808,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.010814,589.4,400,1900-01-01 09:30:00.010814,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.010817,589.4,20,1900-01-01 09:30:00.010817,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.010872,589.4,2,1900-01-01 09:30:00.010872,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.021072,589.43,100,1900-01-01 09:30:00.021072,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.025706,589.39,20,1900-01-01 09:30:00.025706,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.025712,589.39,20,1900-01-01 09:30:00.025712,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.025733,589.39,10,1900-01-01 09:30:00.025733,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.026704,589.38,20,1900-01-01 09:30:00.026704,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.026704,589.38,20,1900-01-01 09:30:00.026704,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.026767,589.38,10,1900-01-01 09:30:00.026767,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.032580,589.38,1,1900-01-01 09:30:00.032580,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.034309,589.38,80,1900-01-01 09:30:00.034309,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.034394,589.38,79,1900-01-01 09:30:00.034394,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.034511,589.4,100,1900-01-01 09:30:00.034511,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.044146,589.38,400,1900-01-01 09:30:00.044146,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.044413,589.4,100,1900-01-01 09:30:00.044413,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.046302,589.4,100,1900-01-01 09:30:00.046302,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.049369,589.39,100,1900-01-01 09:30:00.049369,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.055390,589.41,100,1900-01-01 09:30:00.055390,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.059621,589.4,1,1900-01-01 09:30:00.059621,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.059642,589.38,20,1900-01-01 09:30:00.059642,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.059645,589.38,20,1900-01-01 09:30:00.059645,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.060360,589.395,3,1900-01-01 09:30:00.060360,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.062592,589.4,2,1900-01-01 09:30:00.062592,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.062595,589.39,1,1900-01-01 09:30:00.062595,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.062631,589.39,6,1900-01-01 09:30:00.062631,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.063737,589.39,20,1900-01-01 09:30:00.063737,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.070395,589.39,4,1900-01-01 09:30:00.070395,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.073763,589.4,10,1900-01-01 09:30:00.073763,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.073920,589.4,2,1900-01-01 09:30:00.073920,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.075381,589.4,32,1900-01-01 09:30:00.075381,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.084568,589.4,100,1900-01-01 09:30:00.084568,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.088023,589.38,20,1900-01-01 09:30:00.088023,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.091382,589.385,28,1900-01-01 09:30:00.091382,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.108451,589.37,2,1900-01-01 09:30:00.108451,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.108451,589.37,3,1900-01-01 09:30:00.108451,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.108454,589.36,5,1900-01-01 09:30:00.108454,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.108764,589.35,300,1900-01-01 09:30:00.108764,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.108965,589.35,10,1900-01-01 09:30:00.108965,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.111554,589.385,10,1900-01-01 09:30:00.111554,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.112770,589.38,300,1900-01-01 09:30:00.112770,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.118011,589.38,1,1900-01-01 09:30:00.118011,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.132487,589.33,10,1900-01-01 09:30:00.132487,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.134550,589.31,10,1900-01-01 09:30:00.134550,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.144751,589.38,100,1900-01-01 09:30:00.144751,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.166468,589.3,10,1900-01-01 09:30:00.166468,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.177195,589.29,20,1900-01-01 09:30:00.177195,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.194332,589.28,1,1900-01-01 09:30:00.194332,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.194341,589.28,20,1900-01-01 09:30:00.194341,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.199499,589.38,100,1900-01-01 09:30:00.199499,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.230701,589.26,10,1900-01-01 09:30:00.230701,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.230722,589.26,20,1900-01-01 09:30:00.230722,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.245992,589.3,400,1900-01-01 09:30:00.245992,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.245996,589.3,2900,1900-01-01 09:30:00.245996,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.246757,589.3,400,1900-01-01 09:30:00.246757,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.249619,589.25,1,1900-01-01 09:30:00.249619,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.249628,589.25,20,1900-01-01 09:30:00.249628,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.249743,589.24,10,1900-01-01 09:30:00.249743,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.249743,589.23,10,1900-01-01 09:30:00.249743,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.249764,589.23,20,1900-01-01 09:30:00.249764,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.249875,589.3,300,1900-01-01 09:30:00.249875,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.251087,589.3,100,1900-01-01 09:30:00.251087,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.251093,589.3,500,1900-01-01 09:30:00.251093,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.251210,589.3,500,1900-01-01 09:30:00.251210,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.251835,589.3,400,1900-01-01 09:30:00.251835,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.251835,589.3,100,1900-01-01 09:30:00.251835,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.252515,589.3,300,1900-01-01 09:30:00.252515,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.256385,589.38,10,1900-01-01 09:30:00.256385,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.259351,589.38,80,1900-01-01 09:30:00.259351,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.259353,589.38,60,1900-01-01 09:30:00.259353,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
09:30:00.259356,589.38,43,1900-01-01 09:30:00.259356,09:30:00.005981,589.2,589.45,4,8,589.325,0.25,-0.3333333055555579
